,emp,slot,activity_type
534,1,22,0
535,1,6,2
536,1,6,2
537,1,6,2
538,1,17,2
539,1,17,6
540,1,12,4
541,1,17,4
542,1,17,4
543,1,11,2
544,1,15,2
545,3,15,0
546,2,24,0
547,2,8,0
548,1,24,0
549,1,2,0
550,3,21,0
551,3,22,0
552,4,12,0
553,4,12,8
554,3,23,0
555,3,22,0
556,4,9,0
557,2,22,0
558,2,5,0
559,1,5,0
560,2,5,0
561,2,8,0
562,3,18,0
563,4,13,0
564,4,2,0
565,4,4,0
566,4,18,0
567,3,18,0
568,3,1,0
569,1,22,0
570,4,15,0
571,4,22,0
572,3,22,0
573,3,2,0
574,3,10,2
575,4,16,3
576,4,17,4
577,4,11,0
578,2,11,6
579,2,11,2
580,2,11,4
581,3,17,2
582,3,10,2
583,3,10,3
584,3,8,0
585,3,24,0
586,3,11,3
587,3,15,3
588,3,15,0
589,4,18,0
590,4,7,0
591,4,6,0
592,2,6,0
593,2,22,0
594,3,5,0
595,3,20,0
596,3,19,8
597,3,17,8
598,2,9,8
599,2,15,8
600,2,15,8
601,2,17,8
602,4,8,8
603,4,14,8
604,4,17,8
605,4,14,0
606,4,19,0
607,4,23,0
608,1,23,0
609,2,18,0
610,4,17,0
611,3,21,0
612,2,16,0
613,4,14,0
614,3,17,2
615,2,14,2
616,2,16,0
617,1,16,0
618,3,5,0
619,1,5,0
620,4,20,0
621,3,8,0
622,4,8,0
623,4,19,0
624,3,19,0
625,3,19,0
626,3,19,0
627,3,19,0
628,1,19,0
629,1,1,0
630,1,1,0
631,1,1,0
632,1,10,0
633,4,10,0
634,4,10,0
635,1,18,2
636,2,16,2
637,1,17,2
638,1,17,2
639,1,17,2
640,1,21,2
641,1,13,2
642,1,13,4
643,1,23,0
644,1,7,0
645,1,11,2
646,2,11,2
647,3,19,8
648,3,13,0
649,3,6,0
650,3,17,0
651,3,24,0
652,1,24,0
653,1,24,0
654,4,24,0
655,4,13,0
656,2,13,0
657,2,5,0
658,2,5,0
659,4,9,8
660,4,11,8
661,4,21,0
662,1,21,0
663,4,21,0
664,1,18,0
665,1,8,6
666,1,8,2
667,1,8,2
668,1,20,0
669,1,5,0
670,1,10,0
671,4,7,0
672,4,4,0
673,1,16,0
674,2,24,0
675,3,24,0
676,3,2,0
677,3,2,0
678,4,4,0
679,4,16,0
680,3,12,0
681,4,12,0
682,4,17,0
683,3,22,0
684,4,14,0
685,1,2,0
686,1,22,0
687,4,22,0
688,1,21,0
689,4,24,0
690,4,11,0
691,2,11,0
692,1,11,6
693,1,14,6
694,4,16,8
695,4,11,8
696,4,13,5
697,2,18,5
698,1,18,5
699,3,18,0
700,4,24,0
701,4,17,0
702,1,17,2
703,1,16,2
704,1,1,0
705,3,2,0
706,3,22,0
707,3,22,0
708,1,22,0
709,2,11,0
710,2,23,0
711,2,10,0
712,2,13,2
713,2,16,8
714,4,15,0
715,2,15,0
716,2,15,2
717,2,10,2
718,2,10,0
719,4,10,0
720,2,10,0
721,2,12,0
722,3,3,0
723,4,3,0
724,1,3,0
725,1,2,0
726,1,2,0
727,1,6,0
728,1,6,0
729,1,6,0
730,1,13,2
731,1,12,2
732,1,17,2
733,1,16,0
734,3,21,0
735,1,21,0
736,1,5,0
737,3,24,0
738,3,3,0
739,4,3,0
740,1,5,0
741,1,6,0
742,1,1,0
743,3,1,0
744,3,1,0
745,1,1,0
746,3,1,0
747,3,23,0
748,1,6,0
749,4,13,0
750,4,23,8
751,4,6,0
752,1,6,0
753,1,7,0
754,1,7,0
755,1,7,0
756,1,7,2
757,1,17,6
758,1,10,2
759,1,16,2
760,1,9,2
761,2,9,2
762,2,15,8
763,2,15,2
764,3,17,2
765,3,12,3
766,3,15,3
767,3,10,3
768,4,10,0
769,2,10,0
770,1,10,4
771,1,10,2
772,2,10,8
773,2,22,0
774,4,22,0
775,4,22,0
776,4,2,0
777,4,16,0
778,2,11,4
779,2,16,5
780,2,11,2
781,1,13,2
782,1,14,2
783,2,24,8
784,1,24,8
785,4,19,0
786,3,5,0
787,3,18,0
788,4,1,0
789,4,20,0
790,3,18,8
791,3,16,3
792,3,16,3
793,3,10,3
794,3,9,3
795,3,15,3
796,3,10,3
797,1,10,2
798,1,16,2
799,3,16,2
800,2,13,2
801,4,13,8
802,3,13,3
803,3,13,0
804,1,1,0
805,4,7,0
806,2,6,0
807,3,3,0
808,3,18,0
809,3,1,0
810,3,1,0
811,3,1,0
812,3,7,0
813,1,21,0
814,1,7,0
815,1,2,0
816,1,5,0
817,1,2,0
818,1,21,0
819,1,21,0
820,2,21,0
821,4,1,0
822,4,3,0
823,4,21,0
824,1,7,0
825,1,24,0
826,3,3,0
827,2,3,0
828,4,3,0
829,4,6,0
830,4,6,0
831,1,6,0
832,1,20,0
833,4,13,8
834,2,11,0
835,2,6,0
836,2,20,0
837,2,14,0
838,2,14,2
839,1,5,0
840,1,21,0
841,4,10,0
842,2,3,0
843,1,3,0
844,1,6,0
845,2,23,0
846,2,21,0
847,1,21,0
848,2,21,0
849,2,19,0
850,4,10,5
851,4,6,0
852,4,6,0
853,1,22,0
854,3,13,0
855,3,22,0
856,2,24,0
857,2,14,0
858,1,1,0
859,1,5,0
860,1,5,0
861,1,21,0
862,1,15,2
863,1,16,2
864,2,16,0
865,4,1,0
866,4,16,0
867,4,11,8
868,4,9,8
869,4,9,4
870,4,24,0
871,1,24,0
872,2,20,0
873,4,20,0
874,3,6,0
875,1,6,0
876,1,9,0
877,1,7,0
878,4,3,0
879,4,14,0
880,2,14,0
881,4,20,0
882,4,15,0
883,1,3,0
884,2,24,0
885,1,21,0
886,1,21,0
887,1,24,0
888,4,5,0
889,4,5,0
890,4,12,0
891,2,23,0
892,2,3,0
893,2,3,0
894,4,10,0
895,2,10,0
896,1,9,2
897,1,9,2
898,1,9,2
899,1,9,2
900,1,9,2
901,1,10,2
902,2,8,0
903,4,8,8
904,4,23,0
905,4,23,0
906,1,23,0
907,3,17,0
908,1,22,0
909,1,24,0
910,1,4,0
911,3,4,0
912,2,4,0
913,1,3,0
914,3,3,0
915,3,10,3
916,3,11,2
917,1,14,2
918,1,15,2
919,1,14,2
920,1,14,2
921,1,14,2
922,4,8,2
923,4,24,0
924,2,23,0
925,3,6,0
926,1,23,0
927,1,18,0
928,1,5,0
929,1,5,0
930,4,5,0
931,4,22,0
932,4,24,0
933,2,23,0
934,2,9,0
935,2,7,0
936,2,4,0
937,2,4,0
938,1,4,0
939,4,23,0
940,4,23,0
941,4,24,0
942,3,24,0
943,3,3,0
944,2,3,0
945,3,3,0
946,1,23,0
947,1,13,2
948,1,23,0
949,3,23,0
950,3,23,0
951,1,23,0
952,1,9,0
953,4,17,7
954,1,17,2
955,1,16,0
956,1,21,0
957,2,21,0
958,2,3,0
959,3,20,0
960,4,17,0
961,2,17,2
962,1,13,2
963,4,15,0
964,4,23,0
965,4,23,0
966,4,23,0
967,4,18,0
968,3,13,3
969,3,12,3
970,3,14,0
971,4,2,0
972,2,22,0
973,1,22,2
974,1,9,2
975,1,11,2
976,1,17,2
977,1,16,2
978,1,16,0
979,1,3,0
980,4,22,0
981,2,3,0
982,1,21,0
983,2,21,0
984,2,3,0
985,2,7,0
986,2,10,2
987,2,13,0
988,1,24,0
989,1,4,0
990,2,22,0
991,2,2,0
992,2,13,0
993,4,20,0
994,2,14,0
995,2,14,8
996,4,15,8
997,3,13,0
998,1,5,0
999,1,23,0
1000,4,23,0
1001,1,20,0
1002,1,20,0
1003,4,7,0
1004,3,7,0
1005,1,13,0
1006,4,9,0
1007,4,24,0
1008,4,18,0
1009,3,18,0
1010,3,18,0
1011,1,21,0
1012,1,2,0
1013,1,17,8
1014,2,14,8
1015,1,14,2
1016,1,18,0
1017,1,23,0
1018,4,1,0
1019,3,4,0
1020,1,19,0
1021,1,6,0
1022,4,6,0
1023,4,17,0
1024,4,1,0
1025,1,1,0
1026,1,2,0
1027,4,24,0
1028,4,23,0
1029,3,6,0
1030,2,6,0
1031,1,4,0
1032,2,7,0
1033,1,23,0
1034,1,22,0
1035,1,22,0
1036,1,17,0
1037,2,1,0
1038,2,22,0
1039,4,14,0
1040,4,23,0
1041,3,24,0
1042,3,24,0
1043,3,4,0
1044,3,23,0
1045,3,23,0
1046,4,18,0
1047,3,18,0
1048,3,8,0
1049,1,5,0
1050,2,6,0
1051,1,6,0
1052,1,17,0
1053,1,17,2
1054,1,11,2
1055,1,13,6
1056,1,15,2
1057,1,12,2
1058,1,23,0
1059,2,4,0
1060,2,22,0
1061,2,9,0
1062,3,17,8
1063,3,17,3
1064,3,18,0
1065,4,4,0
1066,1,17,0
1067,4,15,0
1068,4,19,0
1069,2,6,0
1070,4,14,0
1071,4,14,0
1072,4,14,0
1073,1,21,0
1074,4,21,0
1075,4,7,0
1076,3,7,0
1077,1,7,2
1078,1,7,2
1079,1,7,0
1080,1,17,0
1081,4,17,0
1082,1,17,0
1083,1,17,2
1084,2,16,2
1085,2,16,0
1086,4,21,0
1087,1,21,0
1088,4,21,0
1089,4,7,0
1090,3,1,0
1091,1,3,0
1092,3,8,0
1093,2,8,0
1094,1,8,0
1095,1,16,0
1096,1,13,0
1097,1,19,0
1098,1,22,0
1099,3,14,0
1100,1,9,0
1101,4,9,0
1102,4,9,0
1103,4,8,0
1104,4,19,0
1105,1,12,2
1106,1,5,0
1107,2,3,0
1108,1,1,0
1109,3,21,0
1110,3,5,0
1111,1,22,0
1112,1,11,2
1113,1,20,2
1114,3,7,0
1115,1,7,0
1116,1,7,0
1117,1,7,0
1118,4,7,0
1119,1,7,0
1120,2,13,2
1121,2,13,8
1122,4,18,0
1123,4,19,0
1124,4,22,0
1125,4,10,4
1126,4,11,4
1127,4,11,4
1128,2,17,0
1129,2,11,2
1130,1,11,2
1131,1,11,6
1132,3,15,2
1133,1,10,2
1134,1,7,2
1135,1,11,2
1136,1,15,2
1137,1,10,0
1138,4,16,0
1139,4,23,0
1140,4,14,0
1141,1,14,8
1142,2,6,2
1143,3,17,2
1144,2,3,0
1145,1,3,0
1146,1,21,0
1147,1,7,2
1148,1,14,7
1149,1,14,7
1150,1,14,2
1151,1,14,2
1152,3,11,3
1153,3,11,3
1154,3,9,3
1155,3,9,3
1156,3,17,3
1157,3,14,0
1158,3,1,0
1159,4,17,0
1160,4,11,0
1161,3,2,0
1162,1,17,2
1163,2,17,2
1164,1,8,0
1165,3,1,0
1166,4,14,0
1167,4,17,0
1168,2,4,0
1169,3,18,0
1170,1,7,0
1171,1,6,0
1172,1,22,8
1173,1,22,0
1174,1,4,0
1175,3,10,0
1176,3,14,0
1177,2,18,0
1178,1,15,0
1179,1,11,2
1180,1,8,2
1181,2,8,0
1182,4,22,0
1183,1,23,0
1184,1,23,0
1185,3,23,0
1186,1,23,8
1187,2,20,8
1188,2,17,2
1189,2,11,5
1190,4,14,5
1191,4,14,0
1192,4,24,0
1193,1,8,2
1194,2,17,2
1195,1,17,2
1196,2,17,2
1197,1,15,2
1198,2,15,2
1199,1,16,2
1200,1,12,2
1201,1,12,2
1202,1,16,2
1203,1,16,0
1204,2,16,2
1205,1,18,2
1206,1,21,0
1207,2,22,8
1208,2,22,0
1209,2,8,0
1210,2,8,0
1211,2,8,0
1212,1,5,0
1213,1,19,0
1214,1,24,0
1215,1,2,0
1216,1,2,0
1217,1,21,0
1218,1,7,0
1219,1,7,0
1220,1,13,6
1221,2,13,2
1222,2,14,2
1223,2,14,0
1224,1,24,0
1225,4,11,0
1226,2,16,0
1227,2,16,0
1228,2,20,0
1229,1,7,0
1230,1,7,2
1231,1,14,2
1232,1,14,2
1233,1,17,0
1234,2,17,0
1235,2,1,0
1236,1,1,0
1237,1,1,0
1238,1,16,2
1239,1,11,6
1240,1,11,2
1241,1,11,2
1242,1,16,0
1243,3,4,0
1244,3,4,0
1245,2,4,0
1246,1,18,0
1247,1,18,2
1248,2,13,2
1249,2,18,0
1250,4,2,0
1251,4,2,0
1252,4,10,0
1253,4,11,0
1254,2,11,0
1255,2,2,0
1256,3,20,0
1257,4,20,0
1258,4,16,0
1259,4,22,0
1260,4,22,0
1261,4,22,0
1262,1,14,0
1263,1,14,2
1264,1,12,2
1265,1,14,2
1266,1,18,2
1267,1,18,2
1268,1,15,2
1269,1,4,0
1270,1,4,0
1271,3,5,0
1272,1,23,0
1273,1,20,8
1274,4,13,8
1275,2,13,8
1276,2,4,0
1277,1,3,0
1278,1,9,0
1279,3,22,0
1280,3,5,0
1281,1,5,0
1282,1,5,0
1283,1,23,0
1284,3,24,0
1285,3,24,0
1286,1,23,0
1287,1,4,0
1288,1,9,0
1289,4,20,0
1290,2,20,0
1291,2,20,0
1292,2,4,0
1293,3,4,0
1294,3,16,0
1295,4,2,0
1296,2,5,0
1297,2,18,0
1298,1,3,0
1299,2,3,0
1300,2,3,0
1301,2,8,0
1302,2,4,0
1303,4,4,0
1304,1,8,2
1305,4,8,0
1306,3,10,0
1307,4,1,0
1308,1,4,0
1309,1,4,0
1310,4,24,0
1311,2,21,0
1312,1,21,0
1313,4,21,0
1314,1,21,0
1315,1,4,0
1316,1,20,8
1317,1,11,2
1318,1,24,0
1319,2,24,0
1320,2,24,0
1321,4,24,0
1322,3,5,0
1323,1,5,0
1324,4,5,0
1325,3,5,0
1326,4,5,0
1327,4,3,0
1328,2,17,0
1329,3,17,3
1330,3,14,3
1331,3,11,3
1332,3,11,3
1333,3,11,3
1334,3,11,3
1335,2,11,2
1336,1,20,2
1337,1,2,0
1338,1,5,0
1339,1,2,0
1340,2,4,0
1341,3,4,0
1342,1,4,0
1343,3,4,0
1344,4,4,0
1345,4,4,0
1346,4,7,0
1347,3,7,0
1348,1,7,0
1349,1,8,2
1350,1,13,8
1351,1,13,2
1352,1,10,12
1353,2,10,0
1354,1,7,0
1355,1,7,2
1356,1,11,2
1357,1,6,0
1358,1,6,0
1359,3,6,0
1360,3,4,0
1361,1,19,0
1362,1,22,0
1363,1,23,0
1364,2,23,0
1365,1,21,0
1366,4,21,0
1367,1,23,0
1368,1,8,2
1369,1,8,2
1370,1,9,2
1371,1,5,2
1372,1,11,2
1373,1,12,2
1374,1,15,6
1375,1,15,2
1376,2,11,2
1377,2,8,0
1378,2,4,0
1379,1,4,0
